x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,0.38806,0.170732,0.537313,0.585366,0.343284,0.914634,0.059701,1.121951,0.507463,1.0,0.522388,1.54878,0.492537,1.902439,0.432836,2.182927,0.179104,1.036585,0.164179,1.585366,0.179104,1.97561,0.179104,2.268293,-0.164179,0.97561,-0.208955,1.231707,-0.149254,0.987805,-0.089552,0.780488,-0.492537,0.853659,-0.492537,1.085366,-0.41791,0.926829,-0.373134,0.768293,U
0.0,0.0,0.451613,0.183908,0.66129,0.54023,0.290323,0.758621,-0.096774,0.862069,0.580645,1.0,0.629032,1.390805,0.612903,1.643678,0.580645,1.862069,0.225806,1.022989,0.290323,1.482759,0.306452,1.781609,0.306452,2.034483,-0.096774,0.942529,-0.145161,1.172414,-0.048387,0.91954,0.0,0.712644,-0.419355,0.781609,-0.387097,0.931034,-0.241935,0.735632,-0.16129,0.574713,U
0.0,0.0,0.444444,0.177778,0.650794,0.533333,0.285714,0.755556,-0.095238,0.855556,0.571429,1.0,0.619048,1.366667,0.619048,1.611111,0.603175,1.811111,0.222222,1.022222,0.285714,1.477778,0.301587,1.766667,0.301587,1.988889,-0.111111,0.944444,-0.142857,1.166667,-0.063492,0.9,-0.015873,0.688889,-0.428571,0.811111,-0.428571,0.988889,-0.301587,0.8,-0.238095,0.622222,U
0.0,0.0,0.45,0.176471,0.666667,0.552941,0.3,0.776471,-0.083333,0.858824,0.6,1.0,0.65,1.376471,0.65,1.623529,0.616667,1.835294,0.25,1.035294,0.316667,1.494118,0.333333,1.788235,0.35,2.035294,-0.066667,0.952941,-0.15,1.164706,-0.05,0.894118,0.016667,0.682353,-0.4,0.811765,-0.416667,1.0,-0.3,0.811765,-0.233333,0.647059,U
0.0,0.0,0.457627,0.185185,0.694915,0.580247,0.355932,0.864198,0.0,0.962963,0.644068,1.0,0.711864,1.395062,0.728814,1.666667,0.711864,1.876543,0.305085,1.037037,0.389831,1.518519,0.423729,1.82716,0.440678,2.074074,-0.016949,0.962963,-0.067797,1.222222,0.0,0.950617,0.033898,0.716049,-0.355932,0.839506,-0.372881,1.061728,-0.271186,0.864198,-0.20339,0.679012,U
0.0,0.0,0.433333,0.209877,0.666667,0.592593,0.333333,0.839506,-0.05,0.950617,0.6,1.0,0.683333,1.382716,0.683333,1.641975,0.666667,1.851852,0.25,1.037037,0.316667,1.506173,0.333333,1.802469,0.333333,2.049383,-0.066667,0.962963,-0.15,1.197531,-0.066667,0.925926,0.0,0.703704,-0.4,0.839506,-0.416667,1.024691,-0.3,0.839506,-0.216667,0.654321,U
0.0,0.0,0.442623,0.21519,0.622951,0.620253,0.262295,0.898734,-0.114754,0.987342,0.622951,1.0,0.655738,1.417722,0.639344,1.696203,0.590164,1.936709,0.262295,1.025316,0.295082,1.531646,0.311475,1.860759,0.311475,2.139241,-0.065574,0.962025,-0.196721,1.202532,-0.098361,0.936709,-0.032787,0.721519,-0.377049,0.848101,-0.442623,1.050633,-0.327869,0.873418,-0.245902,0.708861,U
0.0,0.0,0.451613,0.231707,0.645161,0.609756,0.33871,0.878049,-0.016129,0.963415,0.612903,1.0,0.677419,1.414634,0.66129,1.682927,0.612903,1.914634,0.274194,1.02439,0.290323,1.52439,0.290323,1.853659,0.290323,2.109756,-0.064516,0.963415,-0.129032,1.207317,-0.048387,0.95122,0.0,0.719512,-0.387097,0.853659,-0.403226,1.060976,-0.306452,0.890244,-0.241935,0.719512,U
0.0,0.0,0.448276,0.182927,0.655172,0.560976,0.293103,0.780488,-0.103448,0.853659,0.586207,1.0,0.637931,1.390244,0.62069,1.646341,0.586207,1.865854,0.224138,1.02439,0.258621,1.487805,0.275862,1.792683,0.275862,2.02439,-0.103448,0.939024,-0.172414,1.134146,-0.086207,0.865854,-0.017241,0.646341,-0.413793,0.804878,-0.431034,0.963415,-0.310345,0.768293,-0.224138,0.597561,U
0.0,0.0,0.45,0.178571,0.666667,0.535714,0.283333,0.761905,-0.116667,0.857143,0.583333,1.0,0.616667,1.380952,0.6,1.642857,0.583333,1.857143,0.233333,1.02381,0.25,1.488095,0.25,1.785714,0.25,2.02381,-0.1,0.940476,-0.183333,1.154762,-0.066667,0.869048,0.0,0.666667,-0.416667,0.797619,-0.433333,0.952381,-0.283333,0.75,-0.2,0.583333,U
