x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,label
0.0,0.0,-0.430769,0.355556,-0.784615,0.955556,-0.938462,1.555556,-0.953846,2.022222,-0.861538,1.0,-1.076923,1.8,-1.107692,2.4,-1.092308,2.888889,-0.584615,0.977778,-0.738462,1.866667,-0.769231,2.466667,-0.8,2.977778,-0.230769,0.933333,-0.353846,1.8,-0.4,2.355556,-0.430769,2.777778,0.138462,0.888889,0.061538,1.577778,0.015385,2.022222,-0.015385,2.377778,M
0.0,0.0,-0.458333,0.182927,-0.722222,0.560976,-0.638889,0.865854,-0.416667,1.060976,-0.652778,1.0,-0.819444,1.365854,-0.819444,1.170732,-0.777778,0.902439,-0.347222,1.036585,-0.513889,1.45122,-0.555556,1.195122,-0.541667,0.878049,-0.013889,0.987805,-0.152778,1.378049,-0.222222,1.036585,-0.25,0.695122,0.347222,0.878049,0.180556,1.036585,0.069444,0.756098,0.013889,0.487805,M
0.0,0.0,-0.441558,0.192771,-0.701299,0.578313,-0.61039,0.891566,-0.415584,1.096386,-0.688312,1.0,-0.909091,1.337349,-0.805195,1.096386,-0.688312,0.831325,-0.38961,1.048193,-0.584416,1.457831,-0.532468,1.156627,-0.441558,0.831325,-0.038961,1.024096,-0.207792,1.385542,-0.181818,1.0,-0.142857,0.662651,0.311688,0.915663,0.12987,1.084337,0.077922,0.771084,0.077922,0.518072,M
0.0,0.0,-0.454545,0.207317,-0.727273,0.597561,-0.662338,0.890244,-0.493506,1.085366,-0.714286,1.0,-0.948052,1.365854,-0.87013,1.158537,-0.753247,0.878049,-0.415584,1.060976,-0.636364,1.487805,-0.584416,1.195122,-0.506494,0.865854,-0.077922,1.036585,-0.246753,1.426829,-0.233766,1.04878,-0.194805,0.707317,0.285714,0.95122,0.116883,1.134146,0.064935,0.853659,0.064935,0.609756,M
0.0,0.0,-0.435897,0.202381,-0.717949,0.571429,-0.692308,0.880952,-0.551282,1.071429,-0.705128,1.0,-0.897436,1.357143,-0.820513,1.119048,-0.730769,0.845238,-0.397436,1.047619,-0.576923,1.452381,-0.538462,1.119048,-0.461538,0.797619,-0.064103,1.011905,-0.217949,1.392857,-0.192308,1.0,-0.166667,0.666667,0.294872,0.916667,0.141026,1.107143,0.076923,0.821429,0.076923,0.583333,M
0.0,0.0,-0.428571,0.197674,-0.701299,0.55814,-0.649351,0.848837,-0.467532,1.023256,-0.597403,1.0,-0.766234,1.360465,-0.727273,1.139535,-0.649351,0.872093,-0.285714,1.034884,-0.441558,1.453488,-0.428571,1.162791,-0.38961,0.837209,0.051948,0.988372,-0.090909,1.337209,-0.116883,0.976744,-0.103896,0.651163,0.402597,0.872093,0.207792,1.05814,0.116883,0.802326,0.103896,0.55814,M
0.0,0.0,-0.443038,0.192771,-0.708861,0.566265,-0.670886,0.855422,-0.468354,1.012048,-0.670886,1.0,-0.810127,1.385542,-0.734177,1.168675,-0.64557,0.891566,-0.367089,1.048193,-0.506329,1.493976,-0.455696,1.204819,-0.392405,0.891566,-0.025316,1.012048,-0.151899,1.421687,-0.139241,1.036145,-0.113924,0.698795,0.329114,0.915663,0.202532,1.120482,0.151899,0.831325,0.139241,0.578313,M
0.0,0.0,-0.37931,0.183206,-0.62931,0.496183,-0.681034,0.717557,-0.560345,0.862595,-0.543103,1.0,-0.681034,1.320611,-0.637931,1.122137,-0.577586,0.862595,-0.232759,1.015267,-0.327586,1.389313,-0.310345,1.068702,-0.275862,0.740458,0.112069,0.946565,0.043103,1.29771,0.017241,0.900763,0.0,0.580153,0.456897,0.801527,0.396552,0.992366,0.310345,0.748092,0.258621,0.526718,M
0.0,0.0,-0.386207,0.238095,-0.593103,0.642857,-0.503448,0.940476,-0.331034,1.130952,-0.537931,1.0,-0.613793,1.315476,-0.524138,1.083333,-0.455172,0.827381,-0.22069,1.02381,-0.296552,1.446429,-0.241379,1.107143,-0.193103,0.785714,0.117241,0.952381,0.075862,1.315476,0.068966,0.89881,0.041379,0.583333,0.462069,0.821429,0.413793,0.988095,0.317241,0.684524,0.255172,0.458333,M
0.0,0.0,-0.392857,0.216561,-0.642857,0.566879,-0.65,0.789809,-0.521429,0.961783,-0.628571,1.0,-0.757143,1.33758,-0.664286,1.127389,-0.564286,0.872611,-0.321429,1.031847,-0.457143,1.458599,-0.378571,1.146497,-0.314286,0.834395,0.021429,0.993631,-0.078571,1.394904,-0.057143,1.012739,-0.05,0.681529,0.371429,0.878981,0.242857,1.050955,0.164286,0.757962,0.114286,0.503185,M
